code,name,total_score,close,pct_chg,vol_ratio,weekly_resonance,squeeze_status,chip_90(%),profit_ratio(%),matched_rule,status_tag,bandwidth(%),converged_mas,listing_days,bw_percentile(%)
300643,万通智控,87.0,17.95,0.28,0.91,周线极致收敛,极度挤压(蓄势),9.2,47.3,5线粘合汇聚,涨停蓄势(免放量),2.74,"MA5,MA20,MA10,MA120,MA60",320,0.8
603259,药明康德,87.0,160.0,-0.31,1.06,周线多头排列,极度挤压(蓄势),25.2,84.0,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.5,"MA10,MA20,MA30,MA5",320,0.0
300787,海能实业,86.0,10.64,5.45,1.58,周线温和收敛,极度挤压(蓄势),14.7,95.8,5线粘合汇聚,标准放量突破,1.78,"MA120,MA30,MA10,MA5,MA20",320,8.3
000782,恒申新材,86.0,8.12,3.57,1.79,周线温和收敛,极度挤压(蓄势),14.9,93.6,4线向上汇聚,标准放量突破,0.44,"MA30,MA20,MA10,MA5",320,10.8
688627,精智达,86.0,503.0,3.39,1.38,周线极致收敛,极度挤压(蓄势),27.7,72.9,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.35,"MA10,MA5,MA20,MA30",320,10.0
301393,昊帆生物,86.0,60.44,2.54,1.14,周线极致收敛,极度挤压(蓄势),13.6,59.0,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.7,"MA10,MA20,MA120,MA5",320,8.3
688630,芯碁微装,86.0,439.83,2.0,1.15,周线极致收敛,极度挤压(蓄势),31.1,83.5,5线粘合汇聚,涨停蓄势(免放量),2.61,"MA20,MA10,MA60,MA30,MA5",320,3.3
600621,华鑫股份,85.0,14.1,9.98,3.13,周线极致收敛,正常扩张,5.0,96.8,5线粘合汇聚,涨停+放量双共振,1.58,"MA5,MA30,MA10,MA60,MA20",320,64.2
605507,国邦医药,85.0,18.17,5.03,0.87,周线极致收敛,正常扩张,8.9,96.9,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.6,"MA60,MA30,MA20,MA120",320,99.2
000718,苏宁环球,85.0,2.01,3.61,1.43,周线极致收敛,低波收口,11.9,72.4,5线粘合汇聚,标准放量突破,1.53,"MA30,MA5,MA20,MA120,MA10",320,30.0
000156,华数传媒,85.0,7.03,1.15,1.54,周线极致收敛,低波收口,7.6,79.3,5线粘合汇聚,标准放量突破,2.26,"MA30,MA120,MA5,MA20,MA10",320,26.7
301345,涛涛车业,84.0,240.69,4.35,1.16,周线极致收敛,窄轨即将变盘,12.5,51.7,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.79,"MA10,MA20,MA5,MA120",320,8.3
002768,国恩股份,84.0,67.89,4.09,1.41,周线多头排列,极度挤压(蓄势),21.1,99.6,4线向上汇聚,标准放量突破,2.75,"MA30,MA10,MA20,MA5",320,13.3
688646,逸飞激光,84.0,79.82,4.0,1.64,周线多头排列,极度挤压(蓄势),15.4,97.3,4线汇聚(涨停豁免向上),涨停+放量双共振,3.41,"MA30,MA20,MA10,MA5",320,20.0
300765,石药创新,84.0,43.88,1.41,1.25,周线多头排列,极度挤压(蓄势),30.8,68.7,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.67,"MA5,MA10,MA20,MA30",320,0.0
603387,XD基蛋生,84.0,9.42,0.96,1.43,周线多头排列,极度挤压(蓄势),10.9,85.5,4线汇聚(涨停豁免向上),涨停+放量双共振,3.68,"MA120,MA10,MA5,MA20",320,7.5
002298,中电鑫龙,83.0,9.0,10.02,1.14,周线极致收敛,极度挤压(蓄势),21.7,78.3,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.26,"MA20,MA10,MA30,MA5",320,5.0
300661,圣邦股份,83.0,125.13,7.44,1.79,周线极致收敛,窄轨即将变盘,22.6,86.8,5线粘合汇聚,涨停+放量双共振,2.67,"MA10,MA20,MA30,MA60,MA5",320,8.3
601369,陕鼓动力,83.0,9.02,7.38,3.25,周线极致收敛,窄轨即将变盘,7.6,53.9,4线汇聚(涨停豁免向上),涨停+放量双共振,2.86,"MA5,MA10,MA20,MA30",320,14.2
000797,中国武夷,83.0,2.69,5.91,1.91,周线温和收敛,极度挤压(蓄势),10.4,90.0,5线粘合汇聚,标准放量突破,3.47,"MA30,MA120,MA20,MA5,MA10",320,57.5
002146,荣盛发展,83.0,1.2,4.35,1.97,周线极致收敛,极度挤压(蓄势),9.6,67.6,4线汇聚(涨停豁免向上),涨停+放量双共振,3.63,"MA60,MA5,MA30,MA20",320,24.2
605180,华生科技,83.0,13.26,4.16,1.8,周线温和收敛,极度挤压(蓄势),17.0,67.3,4线汇聚(涨停豁免向上),涨停+放量双共振,1.34,"MA5,MA30,MA10,MA20",320,4.2
002767,先锋电子,83.0,18.27,3.63,2.02,周线极致收敛,极度挤压(蓄势),13.6,73.9,5线粘合汇聚,标准放量突破,2.94,"MA60,MA5,MA10,MA20,MA30",320,14.2
