代码,名称,类型,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%)
000707,双环科技,次新,临界变盘,58.3,是,Sym-31x4(124K),是,是,41.6,否,否,1.04,4.64,4.74,4.73,-2.01,2.68
600072,中船科技,次新,临界变盘,58.2,否,无,否,是,45.6,否,是,2.83,9.07,9.27,0.0,-2.19,0.54
301585,蓝宇股份,次新,临界变盘,58.1,是,Fib-144K,是,是,30.3,否,否,1.41,27.96,28.14,28.07,-0.66,4.1
002616,长青集团,次新,临界变盘,58.1,是,Fib-55x2(110K),是,是,37.1,否,否,1.17,4.87,4.99,5.0,-2.47,2.28
600210,紫江企业,次新,临界变盘,57.9,否,无,是,是,27.6,否,否,0.59,6.11,6.11,6.09,0.07,0.76
000709,河钢股份,次新,临界变盘,57.9,否,无,是,是,30.2,否,否,1.05,2.1,2.11,2.13,-0.32,0.52
600970,中材国际,次新,临界变盘,57.7,否,无,是,是,37.3,否,否,0.82,7.8,7.8,7.65,0.04,0.89
002182,宝武镁业,次新,回踩确认,57.7,否,无,是,是,54.2,否,否,1.25,12.0,12.02,12.02,-0.18,0.73
603788,宁波高发,次新,回踩确认,57.6,否,无,是,是,29.7,否,否,0.91,13.7,13.69,13.65,0.07,0.9
002393,力生制药,次新,临界变盘,57.6,是,Fib-55x2(110K),是,是,32.7,否,否,0.98,13.98,14.35,14.3,-2.56,2.4
601880,辽港股份,次新,临界变盘,57.5,否,无,是,是,26.1,否,否,0.72,1.47,1.47,1.46,-0.16,0.85
000750,国海证券,次新,突破初现,57.3,否,无,是,否,24.7,否,是,1.32,3.84,3.78,3.77,1.65,1.44
600019,宝钢股份,次新,临界变盘,57.3,否,无,是,是,30.7,否,否,0.84,5.86,5.86,5.86,0.07,1.01
688334,西高院,次新,临界变盘,57.3,否,无,是,是,40.5,否,否,1.5,18.4,18.4,18.23,-0.01,1.07
000883,湖北能源,次新,临界变盘,57.2,否,无,是,否,23.2,是,否,0.81,4.51,4.57,4.54,-1.4,1.73
688570,天玛智控,次新,回踩确认,57.1,否,无,否,是,32.8,是,否,0.75,14.77,14.92,0.0,-1.01,2.14
300791,仙乐健康,次新,临界变盘,56.9,是,Fib-55x3(165K),是,是,40.9,否,否,0.63,17.74,18.0,17.37,-1.46,3.8
688389,普门科技,次新,突破初现,56.8,否,无,是,是,34.4,否,否,0.87,11.18,11.16,11.01,0.19,1.07
600050,中国联通,次新,临界变盘,56.8,否,无,是,是,28.3,否,否,0.94,4.25,4.24,4.27,0.17,1.12
603727,博迈科,次新,回踩确认,56.8,否,无,否,是,37.1,否,是,1.49,18.17,18.34,0.0,-0.92,2.35
601608,中信重工,次新,回踩确认,56.7,否,无,是,是,48.8,否,否,1.18,4.8,4.77,4.81,0.72,0.61
300047,天源迪科,次新,回踩确认,56.7,否,无,否,是,48.7,否,是,1.66,9.49,9.45,0.0,0.41,2.93
601866,中远海发,次新,临界变盘,56.6,否,无,是,是,33.1,否,否,0.83,2.44,2.44,2.44,-0.06,1.29
600635,大众公用,次新,临界变盘,56.5,否,无,是,是,51.0,否,否,1.37,4.72,4.72,4.72,-0.05,1.34
600548,深高速,次新,突破初现,56.3,否,无,是,否,24.2,否,是,2.31,8.47,8.29,8.52,2.19,1.3
300636,同和药业,次新,回踩确认,56.3,否,无,是,是,31.0,否,否,1.08,6.83,6.85,6.97,-0.28,1.2
600987,航民股份,次新,回踩确认,56.3,否,无,是,是,30.5,否,否,0.8,6.52,6.56,6.53,-0.57,0.91
601065,江盐集团,次新,临界变盘,56.3,否,无,是,是,30.3,否,否,1.16,6.88,6.93,6.94,-0.79,0.71
002268,电科网安,次新,临界变盘,56.1,否,无,是,是,49.2,否,否,1.23,14.22,14.29,13.82,-0.49,1.07
600315,上海家化,次新,突破初现,56.0,否,无,否,是,35.7,否,是,1.51,18.62,18.29,0.0,1.83,1.78
920160,北矿检测,次新,回踩确认,56.0,否,无,是,是,44.7,否,否,0.3,19.6,19.46,19.69,0.72,0.87
000686,东北证券,次新,临界变盘,56.0,否,无,是,是,32.5,否,否,0.98,8.11,8.13,8.03,-0.29,1.3
600848,上海临港,次新,回踩确认,55.8,否,无,是,是,49.2,否,否,0.99,8.65,8.57,8.57,0.97,0.69
600166,福田汽车,次新,回踩确认,55.8,否,无,是,否,26.9,是,否,0.83,2.9,2.89,2.9,0.36,3.32
300600,国瑞科技,次新,临界变盘,55.8,否,无,否,是,56.9,否,是,2.15,11.0,11.01,0.0,-0.08,3.6
603551,奥普科技,次新,临界变盘,55.8,否,无,是,是,33.4,否,否,0.78,9.57,9.62,9.26,-0.48,1.19
000652,泰达股份,次新,临界变盘,55.8,否,无,是,是,34.1,否,否,1.05,3.49,3.53,3.52,-1.18,0.49
603214,爱婴室,次新,临界变盘,55.8,是,Sym-44x3(132K),是,是,39.0,否,否,0.91,13.89,14.26,13.82,-2.62,3.08
600179,安通控股,次新,回踩确认,55.7,是,Fib-55x3(165K),是,是,37.1,否,否,0.89,4.62,4.55,4.65,1.58,4.12
603535,嘉诚国际,次新,回踩确认,55.7,否,无,是,是,53.1,否,否,0.94,6.4,6.35,6.22,0.71,1.02
300226,上海钢联,次新,突破初现,55.7,否,无,否,是,48.0,否,是,1.66,17.19,17.14,0.0,0.27,3.44
600133,东湖高新,次新,回踩确认,55.7,否,无,是,是,37.0,否,否,0.74,8.43,8.41,8.39,0.24,1.49
000401,金隅冀东,次新,临界变盘,55.7,否,无,是,是,37.5,否,否,0.94,3.6,3.64,3.64,-1.18,0.53
002526,山东矿机,次新,回踩确认,55.6,否,无,是,是,40.3,否,否,1.37,2.73,2.71,2.72,0.61,1.16
603899,晨光股份,次新,突破初现,55.5,否,无,是,是,29.7,否,否,0.86,23.16,23.04,23.14,0.54,1.25
600557,康缘药业,次新,临界变盘,55.5,否,无,是,是,35.6,否,否,0.55,12.52,12.62,12.73,-0.81,1.01
002035,华帝股份,次新,回踩确认,55.5,是,Fib-55x2(110K),是,是,37.0,否,否,0.62,4.62,4.74,4.78,-2.5,3.29
002276,万马股份,次新,临界变盘,55.4,否,无,是,是,51.2,否,否,1.73,10.4,10.29,10.29,1.02,0.82
601686,友发集团,次新,临界变盘,55.4,否,无,是,是,28.5,否,否,0.94,5.24,5.29,5.24,-0.96,0.9
002090,金智科技,次新,临界变盘,55.4,否,无,是,是,40.0,否,否,1.27,9.3,9.4,9.47,-1.01,0.82
000411,英特集团,次新,突破初现,55.3,否,无,否,是,41.0,否,是,1.35,10.22,10.11,0.0,1.05,2.84
600022,山东钢铁,次新,回踩确认,55.3,否,无,是,是,33.9,否,否,0.88,1.34,1.33,1.32,0.9,0.96
601921,XD浙版传,次新,临界变盘,55.2,是,Sym-46x3(138K),是,否,24.7,否,否,1.06,7.53,7.55,7.56,-0.31,1.62
301559,中集环科,次新,临界变盘,55.2,否,无,是,是,38.3,否,否,1.1,13.09,13.28,13.19,-1.4,0.51
603309,维力医疗,次新,回踩确认,55.1,否,无,是,是,33.3,否,否,1.17,11.27,11.27,11.27,-0.02,1.96
688151,华强科技,次新,回踩确认,55.1,否,无,是,是,43.2,否,否,1.1,16.64,16.66,16.47,-0.11,1.86
002096,易普力,次新,临界变盘,55.0,否,无,是,是,42.3,否,否,0.86,9.64,9.66,9.7,-0.23,1.75
600751,海航科技,次新,回踩确认,55.0,否,无,是,是,48.0,否,否,1.0,3.11,3.14,3.11,-0.81,1.17
603066,音飞储存,次新,临界变盘,54.7,否,无,是,是,32.6,否,否,0.79,9.13,9.18,9.18,-0.51,1.6
603777,来伊份,次新,回踩确认,54.7,否,无,是,是,50.0,否,否,1.22,14.05,14.17,14.18,-0.86,1.26
603053,成都燃气,次新,临界变盘,54.7,否,无,是,是,28.5,否,否,0.82,8.87,8.97,8.77,-1.16,0.98
601238,广汽集团,次新,回踩确认,54.6,否,无,是,是,49.6,否,否,0.86,5.17,5.21,5.22,-0.72,1.44
001238,浙江正特,次新,回踩确认,54.5,否,无,是,是,45.8,否,否,0.61,24.82,24.48,24.29,1.41,0.79
600587,新华医疗,次新,回踩确认,54.5,否,无,是,是,34.2,否,否,0.9,12.67,12.5,12.67,1.35,0.85
603896,寿仙谷,次新,回踩确认,54.5,否,无,是,是,45.1,否,否,0.6,14.87,14.73,14.71,0.98,1.22
603809,豪能股份,次新,回踩确认,54.5,否,无,是,是,45.9,否,否,1.76,8.86,8.86,8.89,0.05,2.15
300918,南山智尚,次新,临界变盘,54.5,否,无,是,是,57.8,否,否,1.16,10.57,10.57,10.64,-0.01,2.2
