代码,名称,类型,综合评分,双轨收敛,首阳放量,量比,现价,阻力价,偏差(%),均线带宽(%),区间跌幅(%)
002239,奥特佳,常规,44.8,否,否,1.03,2.55,2.6,-2.03,3.45,26.17
600048,保利发展,常规,44.7,否,否,1.02,5.25,5.37,-2.15,3.34,27.64
002044,美年健康,常规,44.7,否,否,0.75,4.61,4.73,-2.47,2.99,48.03
301187,欧圣电气,常规,44.7,否,否,0.84,14.35,14.78,-2.9,2.48,50.4
301206,三元生物,常规,44.7,否,否,0.81,23.41,24.13,-2.97,2.41,21.93
002145,钛能化学,常规,44.6,否,否,1.18,4.28,4.37,-2.05,3.47,25.58
003037,三和管桩,常规,44.6,否,否,0.7,5.82,5.97,-2.45,3.04,34.9
002230,科大讯飞,常规,44.5,否,否,1.13,39.5,40.28,-1.94,3.63,41.39
002405,四维图新,常规,44.5,否,否,1.89,6.33,6.5,-2.55,2.93,46.04
600179,安通控股,常规,44.3,否,否,0.89,4.62,4.55,1.58,4.12,29.47
002148,北纬科技,常规,44.3,否,否,1.16,6.43,6.57,-2.14,3.45,32.81
300365,恒华科技,常规,44.2,否,否,1.19,4.79,4.91,-2.44,3.16,35.01
600168,武汉控股,常规,44.1,否,否,0.9,4.45,4.53,-1.79,3.94,20.85
601801,皖新传媒,常规,43.8,否,否,1.02,5.24,5.36,-2.24,3.5,26.09
600761,安徽合力,常规,43.5,否,否,0.75,16.38,16.73,-2.07,3.79,31.44
600067,冠城新材,常规,43.5,否,否,0.95,2.86,2.93,-2.44,3.36,39.42
002035,华帝股份,常规,43.5,否,否,0.62,4.62,4.74,-2.5,3.29,32.48
600751,海航科技,常规,43.4,否,否,1.0,3.11,3.18,-2.3,3.54,29.51
688118,普元信息,常规,43.3,否,否,1.67,21.0,21.56,-2.59,3.23,47.88
301339,通行宝,常规,43.3,否,否,0.69,10.98,11.29,-2.76,3.04,30.64
002688,金河生物,常规,43.1,否,否,0.93,5.28,5.39,-1.99,3.99,23.5
301508,中机认检,常规,42.9,否,否,1.14,24.52,25.03,-2.05,3.96,27.3
