代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
002984,森麒麟,回踩确认,50.1,否,无,是,是,45.1,否,否,0.95,13.76,13.96,13.95,-1.45,2.53,新股
301226,祥明智能,突破初现,50.0,否,无,否,是,56.3,否,是,1.55,32.25,31.26,0.0,3.16,4.64,新股
688085,三友医疗,突破初现,50.0,否,无,否,是,48.7,否,是,1.6,13.7,13.29,0.0,3.08,4.57,新股
600977,中国电影,突破初现,50.0,否,无,是,否,43.3,否,是,1.45,12.69,12.34,12.61,2.85,4.0,新股
603579,荣泰健康,突破初现,50.0,否,无,是,是,45.8,否,否,0.82,18.22,17.72,18.15,2.82,1.2,新股
300190,维尔利,突破初现,50.0,是,Sym-39x3(117K),否,否,35.9,否,是,2.43,4.07,3.97,0.0,2.43,3.8,新股
002557,洽洽食品,临界变盘,50.0,否,无,是,否,30.4,是,否,1.17,18.95,19.61,19.36,-3.34,2.84,新股
002063,远光软件,临界变盘,50.0,否,无,是,否,36.0,否,是,1.46,5.57,5.77,5.6,-3.47,3.45,新股
601868,中国能建,回踩确认,49.8,是,Sym-40x3(120K),是,否,37.6,否,否,1.08,2.48,2.46,2.44,1.01,3.06,新股
600635,大众公用,临界变盘,49.7,否,无,是,是,51.0,否,否,1.37,4.72,4.72,4.72,-0.05,4.07,新股
300496,中科创达,回踩确认,49.7,否,无,是,是,41.9,否,否,1.1,59.05,59.63,59.78,-0.98,3.16,新股
002358,森源电气,回踩确认,49.5,否,无,是,是,48.3,否,否,1.44,5.38,5.3,5.3,1.44,2.77,新股
002007,华兰生物,临界变盘,49.5,是,Sym-49x4(196K),是,否,29.0,否,否,0.96,13.04,13.4,13.21,-2.71,1.5,新股
002454,松芝股份,临界变盘,49.4,否,无,是,是,43.2,否,否,1.02,5.11,5.15,5.14,-0.82,3.43,新股
002996,顺博合金,临界变盘,49.3,是,Fib-144K,是,否,36.6,否,否,0.92,6.2,6.36,6.21,-2.58,1.71,新股
002583,海能达,临界变盘,49.2,否,无,是,是,39.0,否,否,0.87,8.49,8.54,8.65,-0.57,3.75,新股
600751,海航科技,回踩确认,49.1,否,无,是,是,48.0,否,否,1.0,3.11,3.14,3.11,-0.81,3.54,新股
600742,富维股份,临界变盘,49.0,否,无,是,是,38.7,否,否,0.68,7.76,7.71,7.8,0.71,3.68,新股
688151,华强科技,回踩确认,49.0,否,无,是,是,43.2,否,否,1.1,16.64,16.66,16.47,-0.11,4.31,新股
000683,博源化工,临界变盘,49.0,否,无,是,是,45.3,否,否,1.01,6.37,6.38,6.37,-0.15,4.24,新股
600960,渤海汽车,临界变盘,49.0,否,无,是,是,46.8,否,否,0.89,4.04,4.08,4.11,-0.89,3.52,新股
600873,梅花生物,回踩确认,48.8,否,无,是,是,47.7,否,否,0.98,7.82,7.65,7.71,2.27,2.22,新股
601106,中国一重,回踩确认,48.8,否,无,是,是,58.0,否,否,1.28,3.03,2.98,3.01,1.76,2.7,新股
603280,南方路机,回踩确认,48.7,否,无,是,是,51.4,否,否,1.21,27.45,27.45,27.44,-0.02,4.5,新股
002599,盛通股份,回踩确认,48.7,否,无,是,是,50.3,否,否,0.71,5.83,5.85,5.95,-0.34,4.19,新股
000158,常山北明,临界变盘,48.7,否,无,是,是,53.2,否,否,0.75,13.61,13.75,13.82,-1.01,3.52,新股
001221,悍高集团,回踩确认,48.7,否,无,是,是,55.0,否,否,0.65,39.65,40.4,39.47,-1.86,2.66,新股
002685,华东重机,回踩确认,48.6,否,无,是,是,54.2,否,否,1.38,5.43,5.42,5.5,0.28,4.26,新股
300824,北鼎股份,临界变盘,48.6,否,无,是,是,48.3,否,否,0.51,7.85,7.84,7.65,0.06,4.51,新股
688579,地纬智能,临界变盘,48.6,否,无,是,是,47.5,否,否,1.01,8.07,8.19,7.95,-1.47,3.09,新股
000913,钱江摩托,临界变盘,48.6,是,Fib-55x2(110K),是,否,37.8,否,否,0.72,11.2,11.38,11.2,-1.61,2.97,新股
300355,蒙草生态,回踩确认,48.6,否,无,是,是,42.8,否,否,1.05,2.93,2.99,2.91,-1.87,2.71,新股
600375,汉马科技,回踩确认,48.6,否,无,是,是,51.0,否,否,0.84,3.83,3.91,3.75,-2.08,2.48,新股
000629,钒钛股份,回踩确认,48.2,是,Fib-144K,是,否,34.5,否,否,0.82,3.0,3.04,3.02,-1.32,3.4,新股
301078,孩子王,临界变盘,48.2,否,无,是,是,46.8,否,否,1.16,7.29,7.48,7.48,-2.59,2.11,新股
600475,华光环能,回踩确认,48.1,否,无,是,是,52.2,否,否,0.9,14.89,14.79,14.77,0.69,4.07,新股
603015,弘讯科技,回踩确认,48.0,否,无,是,是,55.2,否,否,1.01,10.92,10.89,11.11,0.24,4.56,新股
000544,中原环保,临界变盘,48.0,否,无,是,否,25.6,否,否,1.0,7.38,7.4,7.23,-0.21,0.58,新股
603558,健盛集团,回踩确认,47.9,是,Fib-55x2(110K),是,否,30.2,否,否,0.85,12.24,12.03,12.15,1.73,3.11,新股
300834,星辉环材,回踩确认,47.9,否,无,是,是,48.2,否,否,1.14,41.61,41.24,40.52,0.9,3.95,新股
600210,紫江企业,临界变盘,47.9,否,无,是,否,27.6,否,否,0.59,6.11,6.11,6.09,0.07,0.76,新股
301278,快可电子,临界变盘,47.7,否,无,是,是,54.9,否,否,0.61,28.45,28.56,29.15,-0.38,4.53,新股
002146,荣盛发展,回踩确认,47.7,否,无,是,是,51.5,否,否,1.23,1.2,1.21,1.2,-1.0,3.93,新股
603788,宁波高发,回踩确认,47.6,否,无,是,否,29.7,否,否,0.91,13.7,13.69,13.65,0.07,0.9,新股
002096,易普力,临界变盘,47.6,否,无,是,是,42.3,否,否,0.86,9.64,9.66,9.7,-0.23,4.75,新股
600959,江苏有线,突破初现,47.5,否,无,是,是,42.0,否,否,1.03,3.14,3.08,3.16,1.88,3.12,新股
002393,力生制药,临界变盘,47.5,是,Fib-55x2(110K),是,否,32.7,否,否,0.98,13.98,14.35,14.27,-2.56,2.46,新股
605378,野马电池,临界变盘,47.3,否,无,是,是,56.6,否,否,0.99,14.4,14.69,14.7,-1.99,3.09,新股
300098,高新兴,回踩确认,47.2,否,无,否,是,46.4,否,否,0.99,4.49,4.49,0.0,0.07,1.03,新股
688459,哈铁科技,临界变盘,47.2,否,无,是,否,23.6,否,否,0.7,8.08,8.12,7.92,-0.52,0.62,新股
301586,佳力奇,临界变盘,47.2,否,无,是,是,50.9,否,否,0.63,30.85,31.71,30.45,-2.72,2.42,新股
002312,川发龙蟒,临界变盘,47.2,否,无,是,是,44.1,否,否,0.8,8.49,8.76,8.64,-3.07,2.05,新股
688570,天玛智控,回踩确认,47.1,否,无,否,否,32.8,是,否,0.75,14.77,14.92,0.0,-1.01,2.14,新股
600822,上海物贸,临界变盘,47.0,否,无,是,是,39.3,否,否,0.98,8.46,8.59,8.34,-1.47,3.72,新股
600939,重庆建工,临界变盘,46.9,否,无,是,是,47.6,否,否,0.92,2.7,2.73,2.64,-0.95,4.31,新股
002810,山东赫达,突破初现,46.8,否,无,是,是,40.0,否,否,1.14,21.54,21.31,20.97,1.08,4.18,新股
600970,中材国际,临界变盘,46.8,否,无,是,否,37.3,否,否,0.82,7.8,7.8,7.65,0.04,1.24,新股
003015,日久光电,回踩确认,46.8,否,无,是,是,45.6,否,否,1.23,12.07,12.15,12.1,-0.66,4.62,新股
688779,五矿新能,临界变盘,46.6,否,无,是,是,47.8,否,否,0.93,7.74,8.01,7.95,-3.43,1.94,新股
600843,上工申贝,临界变盘,46.5,是,Fib-55x3(165K),否,是,54.9,否,否,1.23,7.18,7.23,0.0,-0.65,4.73,新股
002044,美年健康,回踩确认,46.4,否,无,是,是,52.1,否,否,0.75,4.61,4.73,4.72,-2.47,2.99,新股
601065,江盐集团,临界变盘,46.3,否,无,是,否,30.3,否,否,1.16,6.88,6.93,6.94,-0.79,0.71,新股
002139,拓邦股份,回踩确认,46.3,否,无,是,是,39.2,否,否,1.32,9.33,9.5,9.56,-1.82,3.68,新股
002405,四维图新,临界变盘,46.3,否,无,是,是,49.3,否,否,1.89,6.33,6.5,6.35,-2.55,2.93,新股
300374,中铁装配,突破初现,46.2,否,无,是,是,50.1,否,否,0.71,11.19,10.99,10.9,1.79,3.74,新股
002553,南方精工,临界变盘,46.2,否,无,是,是,55.7,否,否,1.57,17.04,17.27,16.78,-1.35,4.19,新股
000915,华特达因,临界变盘,46.2,否,无,否,否,32.7,否,是,1.47,25.39,25.77,0.0,-1.46,2.07,新股
000876,新 希 望,突破初现,46.1,否,无,是,是,42.3,否,否,4.71,7.7,7.64,7.97,0.81,4.76,新股
300228,富瑞特装,回踩确认,46.1,否,无,是,是,49.3,否,否,0.76,6.92,6.99,7.07,-1.06,4.51,新股
600050,中国联通,临界变盘,46.0,否,无,是,否,28.3,否,否,0.94,4.25,4.24,4.27,0.17,1.43,新股
601880,辽港股份,临界变盘,46.0,否,无,是,否,26.1,否,否,0.72,1.47,1.47,1.46,-0.16,1.44,新股
001319,铭科精技,临界变盘,46.0,否,无,是,是,47.1,否,否,0.63,20.11,20.36,19.85,-1.24,4.36,新股
002148,北纬科技,临界变盘,46.0,否,无,是,是,42.4,否,否,1.16,6.43,6.57,6.57,-2.14,3.45,新股
300365,恒华科技,临界变盘,46.0,否,无,是,是,43.6,否,否,1.19,4.79,4.91,4.68,-2.44,3.16,新股
